ER,NER,NR,SR,WR
0.102089167,0.007890833,0.185540843,0.138192506,0.223291665
0.099106671,0.009426667,0.150865829,0.142708331,0.198581666
0.093271668,0.013965833,0.122325833,0.153437511,0.187134163
0.092985001,0.012593333,0.088565836,0.151025843,0.179110019
0.109638336,0.009305001,0.077533329,0.140407508,0.162859999
0.099053328,0.0074125,0.067830833,0.125611679,0.160096669
0.076406672,0.001826667,0.067012499,0.084741664,0.147656672
0.01523,0.000205833,0.029673333,0.053645833,0.073759165
0.01817,0.0006725,0.006495833,0.075435833,0.033228333
0.021623333,0.000488333,0.009899167,0.093658337,0.032243333
0.01638,0.003269167,0.008675833,0.117622506,0.027570834
0.019475834,0.008504167,0.014023334,0.101006667,0.036424168
0.019113334,0.010428333,0.024093334,0.097788333,0.057511665
0.026425832,0.015673333,0.034071666,0.10995,0.075552502
0.042717497,0.048543335,0.040075832,0.109645002,0.078240829
0.085975839,0.082566667,0.060377499,0.118137494,0.11549916
0.129916671,0.056983332,0.12424334,0.167285837,0.211049988
0.146560002,0.037224165,0.166868334,0.231570014,0.294605824
0.156913331,0.028042499,0.195089991,0.239591676,0.267872504
0.166845835,0.025205,0.21115415,0.217093315,0.248775832
0.14798917,0.025159999,0.207828344,0.204046675,0.234472495
0.14148584,0.029501667,0.201022496,0.183026675,0.220042496
0.157578333,0.032880001,0.191707496,0.164892508,0.223121667
0.153240832,0.037086667,0.188591671,0.145510008,0.223044998
0.134254159,0.042418333,0.174982501,0.146317497,0.226499186
0.117236677,0.040844167,0.155965839,0.156231667,0.217164161
0.110717503,0.040388331,0.143529157,0.155767499,0.206124164
0.124645002,0.042124167,0.132405837,0.151575,0.214050824
0.111404167,0.050981669,0.121200001,0.13456334,0.213044173
0.07956833,0.051677499,0.118305833,0.121033331,0.206903338
0.042371668,0.027575832,0.119135838,0.092932506,0.196155004
0.014015833,0.025000833,0.068343331,0.064229999,0.132275834
0.022854167,0.028239166,0.015154167,0.062969998,0.095900834
0.0249125,0.037173334,0.025199167,0.069893331,0.102050832
0.03269,0.010137499,0.014359167,0.089029166,0.045933332
0.066549162,0.010703333,0.0197425,0.090824165,0.041065002
0.107090826,0.018736666,0.031167501,0.106295004,0.045747502
0.134495,0.039379999,0.046028331,0.144250826,0.050501669
0.1714825,0.071388332,0.070294163,0.178272502,0.054396664
0.194589169,0.118880838,0.136430835,0.190677515,0.077598333
0.22631749,0.13003,0.222912498,0.235321663,0.16938501
0.259618343,0.128816664,0.287241668,0.295942493,0.23639916
0.257273326,0.121654999,0.326635813,0.309153323,0.283659997
0.267649996,0.138819998,0.364373284,0.303279164,0.321080002
0.261712487,0.151590829,0.391538305,0.252496671,0.341966681
0.247959999,0.160633333,0.398748336,0.220640005,0.366503331
0.226864999,0.185760838,0.39016749,0.207509163,0.367856666
0.206844172,0.19922584,0.392694183,0.207323336,0.328748345
0.224529157,0.183753327,0.400359986,0.195328325,0.301501649
0.240706652,0.171404998,0.398839163,0.157043329,0.295308347
0.24867248,0.167394169,0.394000828,0.142507505,0.292082489
0.237224165,0.158697505,0.394924983,0.134623334,0.277828351
0.234957503,0.165614158,0.378547495,0.123208326,0.258720845
0.245727487,0.171531665,0.354682505,0.123376668,0.259684175
0.183480002,0.104942495,0.324641667,0.111727505,0.241135009
0.093022501,0.089558336,0.216657506,0.080078331,0.143556671
0.102807502,0.085948337,0.095459992,0.095310003,0.114915835
0.102612497,0.075848334,0.088987504,0.129815834,0.121713333
0.046235002,0.025463332,0.058397497,0.176627493,0.064304998
0.040029168,0.027085834,0.064072497,0.197144168,0.040185835
0.034638334,0.023092499,0.071414169,0.221377523,0.025795835
0.035354168,0.021034167,0.068424163,0.231407512,0.018651668
0.047283331,0.029801666,0.059214165,0.23881417,0.018446667
0.095598334,0.0574925,0.067659162,0.243715813,0.035395836
0.157450005,0.076902503,0.106217497,0.303402528,0.086565001
0.159736674,0.06740583,0.159415822,0.370364172,0.136784996
0.141460845,0.050900832,0.199954994,0.381784168,0.20332167
0.113517494,0.041213332,0.221342485,0.369951703,0.225059165
0.108053333,0.061585827,0.247271679,0.361787478,0.237149158
0.103974992,0.095808336,0.259446695,0.332993339,0.251431663
0.12058333,0.115045832,0.262750007,0.306509996,0.267291663
0.117337499,0.116688332,0.261421673,0.289538326,0.27882166
0.102484159,0.104046668,0.264718321,0.269064178,0.279899177
0.110589167,0.089452501,0.285372501,0.24143665,0.273110002
0.111464166,0.084510833,0.290698347,0.225762495,0.264915831
0.104048332,0.073062498,0.291946677,0.218978333,0.258009177
0.10782,0.058209167,0.298240028,0.208598343,0.240722497
0.107264169,0.040498332,0.290363342,0.193649168,0.225182512
0.078733332,0.012713333,0.278853339,0.162222515,0.205661666
0.031461667,0.000135,0.223945824,0.134138337,0.10128083
0.029699999,0.0003375,0.127436668,0.150920828,0.078000831
0.020393334,0.0010625,0.119398333,0.183425821,0.098928342
0.016674167,0.013688334,0.112052505,0.226693333,0.091559995
0.021730001,0.021751667,0.108282503,0.226399969,0.075635
0.023232501,0.015735,0.107814999,0.22108167,0.073249167
0.024504999,0.019744168,0.116744999,0.225608334,0.064110829
0.0306425,0.048015834,0.136271665,0.230336687,0.055681669
0.071269998,0.094907496,0.168302498,0.245314988,0.077328337
0.127373337,0.130599168,0.22845583,0.286004171,0.13378666
0.131485837,0.141722489,0.285531675,0.348221675,0.179630835
0.113885832,0.111897497,0.31844752,0.358635838,0.173379989
0.084765003,0.088896665,0.32878001,0.313761666,0.184242489
0.07918,0.082199162,0.313984176,0.302524162,0.205665828
0.073528333,0.094103339,0.303535844,0.285959177,0.228701695
0.062055,0.108279993,0.292900821,0.274070822,0.233839165
0.052854167,0.123035833,0.301900831,0.255478337,0.23813082
0.039031665,0.115006669,0.332008342,0.249219995,0.229494158
0.031775832,0.109796666,0.339137485,0.229703331,0.227313343
0.038917499,0.110045839,0.347775864,0.209298323,0.218345013
0.047207499,0.089269168,0.358291658,0.182900834,0.223420817
0.09957833,0.11547,0.39208664,0.177394173,0.219545824
0.100965838,0.131715835,0.411244161,0.179496671,0.212975013
0.076665835,0.060319998,0.392927473,0.150924169,0.201842507
0.014738334,0.00916,0.257435826,0.102944167,0.127325011
0.006963334,0.002935833,0.151493341,0.10955,0.112175001
0.004035,0.003138333,0.180757499,0.113138337,0.132089999
0.005550833,0.00291,0.116693335,0.105421678,0.094992504
0.005191667,0.0106,0.116626664,0.098368337,0.091539162
0.00379,0.012825,0.119070834,0.107582503,0.082774996
0.006731667,0.010924166,0.118918333,0.131719162,0.075218333
0.019366668,0.018005834,0.122653338,0.160885841,0.078609164
0.056130832,0.036336668,0.15134417,0.190318321,0.095864161
0.107965001,0.035358335,0.240116667,0.232313324,0.190175825
0.121090839,0.026381669,0.312683339,0.266805838,0.274242509
0.135720008,0.018814167,0.33175831,0.276253323,0.311783339
0.156674178,0.021097499,0.337492508,0.260595844,0.318953315
0.14827501,0.030464167,0.332961671,0.217242509,0.297685839
0.143872506,0.042291666,0.326926696,0.197507494,0.290861666
0.121576667,0.03537,0.295371647,0.188899163,0.275099151
0.122063328,0.023355834,0.281425814,0.174198331,0.260275821
0.110649173,0.02139,0.256796651,0.169370838,0.246931653
0.105724165,0.020258334,0.249411648,0.16291084,0.223253332
0.106347496,0.020585834,0.253009188,0.153884161,0.207364166
0.107916667,0.028478332,0.262946658,0.138967498,0.193682502
0.062059166,0.036468334,0.26557749,0.165746665,0.16264667
0.072092496,0.038353334,0.252884975,0.149300003,0.160416671
0.073515836,0.019970833,0.235582512,0.106608332,0.155137503
0.027248334,0.000543333,0.133062494,0.059241662,0.09658917
0.022038332,0.001015833,0.059035836,0.056590001,0.061922497
0.0165075,0.001158333,0.066322504,0.055825003,0.066621667
0.01177,0.0011175,0.032380833,0.074890829,0.046486667
0.011874167,0.002335,0.041183333,0.078404164,0.056735833
0.014258333,0.00919,0.057681665,0.085814992,0.079924168
0.029681666,0.016244166,0.07035,0.110563333,0.108514996
0.06290083,0.020795001,0.080071662,0.132035834,0.137773331
0.147110835,0.033968333,0.123324999,0.164995837,0.188479175
0.260581667,0.028209998,0.257964994,0.224580831,0.28819333
0.289884997,0.018637501,0.377210051,0.282764979,0.378259989
0.298141668,0.016310833,0.41131003,0.30327335,0.388493334
0.280311671,0.024786665,0.41280251,0.307229171,0.391790859
0.237632489,0.0402725,0.422167505,0.277386665,0.397350823
0.201551671,0.055154167,0.433817531,0.252735838,0.406689992
0.188072509,0.057039165,0.432368296,0.221517492,0.403880845
0.207665833,0.0551025,0.440970006,0.203095005,0.393979962
0.194835837,0.051061666,0.438084168,0.192895005,0.380050023
0.181034169,0.050569163,0.434239184,0.170881663,0.377160827
0.176884994,0.054195005,0.415215013,0.148773334,0.394905016
0.186125834,0.060191668,0.412368347,0.126137494,0.392270868
0.22403833,0.099539999,0.391470815,0.172489997,0.351728318
0.231443329,0.090317504,0.371009156,0.150350838,0.326209997
0.16411333,0.041734999,0.357610809,0.109781661,0.293002499
0.143533327,0.009040833,0.274377504,0.063714168,0.184543334
0.180570828,0.0094975,0.193773322,0.05916667,0.176634158
0.209998315,0.004905833,0.226876659,0.051160001,0.217271658
0.103250006,0.017750001,0.209441668,0.055603331,0.159294168
0.100982503,0.028058334,0.241838334,0.049518333,0.174064995
0.103644173,0.039989166,0.267337496,0.054921667,0.187460003
0.137736671,0.040682504,0.275067503,0.069050832,0.188591679
0.175996665,0.048939999,0.259772517,0.083150837,0.208729987
0.277140819,0.081123331,0.252254187,0.104528334,0.227396666
0.359956652,0.097464999,0.299225,0.177502501,0.311233332
0.361245811,0.083359165,0.354249147,0.234164173,0.425174162
0.320309147,0.08069083,0.366918335,0.271586637,0.469284189
