gid,latitude,longitude,elevation,timezone,config,geometry,index_right
10064,21.45,70.05,0.0,5.5,default,POINT (70.05 21.45),260
10065,21.55,70.05,0.0,5.5,default,POINT (70.05 21.55),260
10066,21.65,70.05,0.0,5.5,default,POINT (70.05 21.65),260
10067,21.75,70.05,0.0,5.5,default,POINT (70.05 21.75),260
10068,21.85,70.05,0.0,5.5,default,POINT (70.05 21.85),260
7447,23.75,69.25,0.0,5.5,default,POINT (69.25 23.75),264
7448,23.85,69.25,0.0,5.5,default,POINT (69.25 23.85),264
7449,23.95,69.25,0.0,5.5,default,POINT (69.25 23.95),264
7776,23.65,69.35,0.0,5.5,default,POINT (69.34999999999999 23.65),264
7777,23.75,69.35,0.0,5.5,default,POINT (69.34999999999999 23.75),264
7778,23.85,69.35,0.0,5.5,default,POINT (69.34999999999999 23.85),264
7779,23.95,69.35,0.0,5.5,default,POINT (69.34999999999999 23.95),264
7780,24.05,69.35,0.0,5.5,default,POINT (69.34999999999999 24.05),264
8105,23.55,69.45,0.0,5.5,default,POINT (69.45 23.55),264
8106,23.65,69.45,0.0,5.5,default,POINT (69.45 23.65),264
8107,23.75,69.45,0.0,5.5,default,POINT (69.45 23.75),264
8108,23.85,69.45,0.0,5.5,default,POINT (69.45 23.85),264
8109,23.95,69.45,0.0,5.5,default,POINT (69.45 23.95),264
8110,24.05,69.45,0.0,5.5,default,POINT (69.45 24.05),264
8111,24.15,69.45,0.0,5.5,default,POINT (69.45 24.15),264
8434,23.45,69.55,0.0,5.5,default,POINT (69.55 23.45),264
8435,23.55,69.55,0.0,5.5,default,POINT (69.55 23.55),264
8436,23.65,69.55,0.0,5.5,default,POINT (69.55 23.65),264
8437,23.75,69.55,0.0,5.5,default,POINT (69.55 23.75),264
8438,23.85,69.55,0.0,5.5,default,POINT (69.55 23.85),264
8439,23.95,69.55,0.0,5.5,default,POINT (69.55 23.95),264
8440,24.05,69.55,0.0,5.5,default,POINT (69.55 24.05),264
8441,24.15,69.55,0.0,5.5,default,POINT (69.55 24.15),264
8442,24.25,69.55,0.0,5.5,default,POINT (69.55 24.25),264
8764,23.45,69.65,0.0,5.5,default,POINT (69.65000000000001 23.45),264
8765,23.55,69.65,0.0,5.5,default,POINT (69.65000000000001 23.55),264
8766,23.65,69.65,0.0,5.5,default,POINT (69.65000000000001 23.65),264
8767,23.75,69.65,0.0,5.5,default,POINT (69.65000000000001 23.75),264
8768,23.85,69.65,0.0,5.5,default,POINT (69.65000000000001 23.85),264
8769,23.95,69.65,0.0,5.5,default,POINT (69.65000000000001 23.95),264
8770,24.05,69.65,0.0,5.5,default,POINT (69.65000000000001 24.05),264
8771,24.15,69.65,0.0,5.5,default,POINT (69.65000000000001 24.15),264
8772,24.25,69.65,0.0,6.0,default,POINT (69.65000000000001 24.25),264
9094,23.45,69.75,0.0,5.5,default,POINT (69.75 23.45),264
9095,23.55,69.75,0.0,5.5,default,POINT (69.75 23.55),264
9096,23.65,69.75,0.0,5.5,default,POINT (69.75 23.65),264
9097,23.75,69.75,0.0,5.5,default,POINT (69.75 23.75),264
9098,23.85,69.75,0.0,5.5,default,POINT (69.75 23.85),264
9099,23.95,69.75,0.0,5.5,default,POINT (69.75 23.95),264
9100,24.05,69.75,0.0,5.5,default,POINT (69.75 24.05),264
9101,24.15,69.75,0.0,5.5,default,POINT (69.75 24.15),264
9102,24.25,69.75,0.0,6.0,default,POINT (69.75 24.25),264
9424,23.45,69.85,0.0,5.5,default,POINT (69.84999999999999 23.45),264
9425,23.55,69.85,0.0,5.5,default,POINT (69.84999999999999 23.55),264
9426,23.65,69.85,0.0,5.5,default,POINT (69.84999999999999 23.65),264
9427,23.75,69.85,0.0,5.5,default,POINT (69.84999999999999 23.75),264
9428,23.85,69.85,0.0,5.5,default,POINT (69.84999999999999 23.85),264
9429,23.95,69.85,0.0,5.5,default,POINT (69.84999999999999 23.95),264
9430,24.05,69.85,0.0,5.5,default,POINT (69.84999999999999 24.05),264
9431,24.15,69.85,0.0,5.5,default,POINT (69.84999999999999 24.15),264
9432,24.25,69.85,0.0,6.0,default,POINT (69.84999999999999 24.25),264
9755,23.55,69.95,0.0,5.5,default,POINT (69.95 23.55),264
9756,23.65,69.95,0.0,5.5,default,POINT (69.95 23.65),264
9757,23.75,69.95,0.0,5.5,default,POINT (69.95 23.75),264
9758,23.85,69.95,0.0,5.5,default,POINT (69.95 23.85),264
