latitude,longitude,elevation,timezone,config,geometry,index_right
21.65,69.45,0.0,5.5,default,POINT (69.45 21.65),260
21.75,69.45,0.0,5.5,default,POINT (69.45 21.75),260
21.85,69.45,0.0,5.5,default,POINT (69.45 21.85),260
21.95,69.45,0.0,5.5,default,POINT (69.45 21.95),260
22.05,69.45,0.0,5.5,default,POINT (69.45 22.05),260
21.25,69.55,0.0,5.0,default,POINT (69.55 21.25),260
21.35,69.55,0.0,5.0,default,POINT (69.55 21.35),260
21.45,69.55,0.0,5.5,default,POINT (69.55 21.45),260
21.55,69.55,0.0,5.5,default,POINT (69.55 21.55),260
21.65,69.55,0.0,5.5,default,POINT (69.55 21.65),260
21.75,69.55,0.0,5.5,default,POINT (69.55 21.75),260
21.85,69.55,0.0,5.5,default,POINT (69.55 21.85),260
21.95,69.55,0.0,5.5,default,POINT (69.55 21.95),260
22.05,69.55,0.0,5.5,default,POINT (69.55 22.05),260
21.25,69.65,0.0,5.0,default,POINT (69.65000000000001 21.25),260
21.35,69.65,0.0,5.5,default,POINT (69.65000000000001 21.35),260
21.45,69.65,0.0,5.5,default,POINT (69.65000000000001 21.45),260
21.55,69.65,0.0,5.5,default,POINT (69.65000000000001 21.55),260
21.65,69.65,0.0,5.5,default,POINT (69.65000000000001 21.65),260
21.75,69.65,0.0,5.5,default,POINT (69.65000000000001 21.75),260
21.85,69.65,0.0,5.5,default,POINT (69.65000000000001 21.85),260
21.95,69.65,0.0,5.5,default,POINT (69.65000000000001 21.95),260
22.05,69.65,0.0,5.5,default,POINT (69.65000000000001 22.05),260
21.25,69.75,0.0,5.5,default,POINT (69.75 21.25),260
21.35,69.75,0.0,5.5,default,POINT (69.75 21.35),260
21.45,69.75,0.0,5.5,default,POINT (69.75 21.45),260
21.55,69.75,0.0,5.5,default,POINT (69.75 21.55),260
21.65,69.75,0.0,5.5,default,POINT (69.75 21.65),260
21.75,69.75,0.0,5.5,default,POINT (69.75 21.75),260
21.85,69.75,0.0,5.5,default,POINT (69.75 21.85),260
21.95,69.75,0.0,5.5,default,POINT (69.75 21.95),260
22.05,69.75,0.0,5.5,default,POINT (69.75 22.05),260
21.25,69.85,0.0,5.5,default,POINT (69.84999999999999 21.25),260
21.35,69.85,0.0,5.5,default,POINT (69.84999999999999 21.35),260
21.45,69.85,0.0,5.5,default,POINT (69.84999999999999 21.45),260
21.55,69.85,0.0,5.5,default,POINT (69.84999999999999 21.55),260
21.65,69.85,0.0,5.5,default,POINT (69.84999999999999 21.65),260
21.75,69.85,0.0,5.5,default,POINT (69.84999999999999 21.75),260
21.85,69.85,0.0,5.5,default,POINT (69.84999999999999 21.85),260
