,gid,latitude,longitude,elevation,offshore,wrf_region,config
3277,723059,25.218933,91.01128,142,0,1,default
1234,707625,23.632263000000002,91.72018,131,0,1,default
1528,708973,23.767494,92.842606,451,0,1,default
2297,713134,24.199286999999998,91.92694,117,0,1,default
773,704739,23.334259,91.60203,68,0,1,default
2314,713151,24.199286999999998,92.42908,238,0,1,default
1841,710525,23.929579999999998,92.25185400000001,127,0,1,default
227,698229,22.654495,92.694916,213,0,1,default
2773,717611,24.656464,92.60631,26,0,1,default
3207,722818,25.1922,91.63157,99,0,1,default
1080,706822,23.551056,91.21804,33,0,1,default
162,696663,22.490852,92.87215,429,0,1,default
604,703208,23.171425,92.81307,714,0,1,default
1942,711041,23.983574,92.01556,93,0,1,default
1497,708942,23.767494,91.92694,161,0,1,default
2078,711810,24.064507,91.51342,64,0,1,default
3148,722576,25.165466000000002,92.22232,261,0,1,default
2667,716305,24.522179,92.72446,39,0,1,default
1532,709183,23.794525,91.306656,37,0,1,default
3947,724857,25.405846,89.94793,69,0,1,default
963,706052,23.469795,91.69064,50,0,1,default
1362,708394,23.713417,91.21804,32,0,1,default
365,700844,22.926819000000002,92.60631,126,0,1,default
3192,722796,25.1922,90.98174,27,0,1,default
2172,712118,24.091476,92.87215,300,0,1,default
2524,714975,24.387741000000002,92.133705,40,0,1,default
875,705521,23.415596,91.48388,42,0,1,default
3918,724669,25.379158,92.133705,1339,0,1,default
4041,724951,25.405846,92.72446,942,0,1,default
161,696662,22.490852,92.842606,772,0,1,default
3213,722824,25.1922,91.80879,491,0,1,default
1931,711030,23.983574,91.69064,87,0,1,default
1489,708934,23.767494,91.69064,120,0,1,default
3868,724619,25.379158,90.65683,747,0,1,default
3699,724134,25.325768,91.80879,1191,0,1,default
135,696134,22.436256,92.72446,671,0,1,default
3920,724671,25.379158,92.19278,1195,0,1,default
2989,720501,24.951424,92.842606,35,0,1,default
2852,718656,24.76381,92.51769,47,0,1,default
948,705830,23.442703,92.87215,825,0,1,default
1057,706582,23.523972,91.86787,118,0,1,default
400,701366,22.981216,92.54723,347,0,1,default
2956,719971,24.897842,92.66538,19,0,1,default
2525,714976,24.387741000000002,92.163246,32,0,1,default
1998,711308,24.01056,92.163246,89,0,1,default
3298,723080,25.218933,91.63157,439,0,1,default
647,703694,23.225723000000002,91.69064,78,0,1,default
1401,708436,23.713417,92.45862,396,0,1,default
2603,715765,24.468422,92.25185400000001,28,0,1,default
3048,721544,25.058495,92.694916,384,0,1,default
1382,708414,23.713417,91.80879,114,0,1,default
1270,707878,23.659317,91.454346,80,0,1,default
3718,724153,25.325768,92.37,1071,0,1,default
40,693774,22.190323,92.66538,129,0,1,default
4028,724938,25.405846,92.34047,1271,0,1,default
2089,711821,24.064507,91.83833,49,0,1,default
4132,725201,25.43251,92.37,1248,0,1,default
171,696923,22.518143,92.81307,727,0,1,default
356,700589,22.899604999999998,92.81307,753,0,1,default
2313,713150,24.199286999999998,92.39954,140,0,1,default
1806,710282,23.902588,92.81307,178,0,1,default
871,705517,23.415596,91.36573,42,0,1,default
3523,723637,25.272362,92.60631,1346,0,1,default
2317,713154,24.199286999999998,92.51769,51,0,1,default
3031,721283,25.03173,92.72446,755,0,1,default
2536,714987,24.387741000000002,92.48816,158,0,1,default
1378,708410,23.713417,91.69064,109,0,1,default
163,696915,22.518143,92.57677,222,0,1,default
3448,723562,25.272362,90.39099,46,0,1,default
2712,716830,24.575912,92.75399999999999,70,0,1,default
2915,719442,24.844246,92.51769,19,0,1,default
2418,713942,24.280089999999998,92.57677,395,0,1,default
1188,707363,23.605202,91.72018,152,0,1,default
4261,725648,25.485854999999997,90.09561,90,0,1,default
1224,707615,23.632263000000002,91.424805,65,0,1,default
3482,723596,25.272362,91.39526,358,0,1,default
1474,708919,23.767494,91.24758,13,0,1,default
552,702906,23.144272,91.63157,40,0,1,default
2807,718127,24.710151999999997,92.37,22,0,1,default
1244,707647,23.632263000000002,92.37,262,0,1,default
1356,708185,23.68637,92.78353,385,0,1,default
1982,711292,24.01056,91.69064,52,0,1,default
1757,710233,23.902588,91.36573,40,0,1,default
1254,707657,23.632263000000002,92.66538,523,0,1,default
2812,718132,24.710151999999997,92.51769,40,0,1,default
2784,717863,24.683327,92.31093,22,0,1,default
4089,725158,25.43251,91.09989,820,0,1,default
1755,710231,23.902588,91.306656,40,0,1,default
547,702898,23.144272,91.39526,13,0,1,default
1050,706575,23.523972,91.6611,39,0,1,default
793,704779,23.334259,92.78353,687,0,1,default
1671,709735,23.848564,92.133705,187,0,1,default
1829,710513,23.929579999999998,91.89741,103,0,1,default
475,702152,23.062767,92.54723,326,0,1,default
3155,722583,25.165466000000002,92.42908,238,0,1,default
2770,717608,24.656464,92.51769,34,0,1,default
2561,715249,24.414635,92.48816,128,0,1,default
3128,722514,25.165466000000002,90.39099,54,0,1,default
699,704207,23.280006,91.36573,67,0,1,default
2548,714999,24.387741000000002,92.842606,352,0,1,default
658,703724,23.225723000000002,92.57677,621,0,1,default
838,705259,23.388489,91.48388,46,0,1,default
212,697964,22.627235,92.60631,139,0,1,default
164,696916,22.518143,92.60631,138,0,1,default
4177,725405,25.45919,90.65683,358,0,1,default
642,703689,23.225723000000002,91.54295,53,0,1,default
3727,724162,25.325768,92.63584,1093,0,1,default
2699,716817,24.575912,92.37,75,0,1,default
1650,709714,23.848564,91.51342,89,0,1,default
1211,707398,23.605202,92.75399999999999,610,0,1,default
4149,725218,25.43251,92.87215,315,0,1,default
3707,724142,25.325768,92.04509,452,0,1,default
2030,711551,24.037537,91.60203,32,0,1,default
2141,712087,24.091476,91.95648,75,0,1,default
971,706060,23.469795,91.92694,115,0,1,default
4128,725197,25.43251,92.25185400000001,1373,0,1,default
347,700580,22.899604999999998,92.54723,191,0,1,default
405,701371,22.981216,92.694916,577,0,1,default
