,gid,latitude,longitude,elevation,offshore,wrf_region,config
7765,404876,10.85672,78.57597,78,0,1,default
7022,401514,10.711639,76.30159,39,0,1,default
40389,521902,16.054276,79.28488,194,0,1,default
9643,414023,11.262566,78.25106,177,0,1,default
3606,381741,9.839737,76.74465,70,0,1,default
62750,615150,19.457458,78.36922,445,0,1,default
20728,458185,13.225319,76.71511,789,0,1,default
20348,456903,13.167801,76.65604,792,0,1,default
2681,374564,9.519447,78.78274,17,0,1,default
13965,433515,12.13028,76.921875,665,0,1,default
62659,613412,19.401749,79.10765,481,0,1,default
57420,574921,18.143303,78.95997,426,0,1,default
52848,557855,17.524704,79.96424,196,0,1,default
19921,455569,13.110275,75.14962,119,0,1,default
27432,480712,14.229591000000001,78.72366,348,0,1,default
35423,506935,15.400352499999999,75.88806,597,0,1,default
53258,559298,17.581024,78.57597,565,0,1,default
51350,552775,17.327438,82.12048,80,0,1,default
2930,376527,9.606827000000001,78.48736600000001,59,0,1,default
34954,505148,15.314903,79.40303,153,0,1,default
30553,491056,14.687218,77.95569,280,0,1,default
59939,587610,18.56382,83.47921,96,0,1,default
31628,494347,14.830039999999999,80.023315,6,0,1,default
62098,605560,19.150818,79.78702,153,0,1,default
3742,382443,9.868835,77.98523,140,0,1,default
48313,543435,16.960503,80.436844,75,0,1,default
51072,552006,17.299232,80.90944,202,0,1,default
22606,464522,13.512695,76.065285,766,0,1,default
50009,548982,17.186394,76.98095,425,0,1,default
19310,453127,12.995178,79.10765,247,0,1,default
35375,506887,15.400352499999999,74.47026,655,0,1,default
59962,587633,18.56382,84.15857,56,0,1,default
31915,495512,14.887138,76.50835,692,0,1,default
25976,476051,14.029091000000001,75.32685,718,0,1,default
28981,485895,14.458526999999998,78.42829,186,0,1,default
34360,503246,15.229416,79.2258,204,0,1,default
31683,494841,14.858589000000002,75.651764,548,0,1,default
38401,516040,15.798637,79.49164,134,0,1,default
43082,529723,16.394607999999998,76.360664,482,0,1,default
27508,481245,14.258224499999999,75.26778,635,0,1,default
56876,572494,18.059074,78.93043,483,0,1,default
62285,608151,19.234505,79.04858,500,0,1,default
9225,412063,11.175644,78.16245,260,0,1,default
59364,584217,18.45179,83.420135,206,0,1,default
26623,478070,14.115044000000001,77.45355,578,0,1,default
39515,519315,15.940697,80.20054,24,0,1,default
58287,578994,18.283585000000002,78.36922,527,0,1,default
13919,433469,12.13028,75.56315,221,0,1,default
56777,571816,18.030983,82.65216,1470,0,1,default
11558,423060,11.667839,76.74465,902,0,1,default
12152,425679,11.783524,77.18771,1492,0,1,default
12632,427672,11.8702545,78.191986,856,0,1,default
60844,593590,18.75972,83.53828399999999,102,0,1,default
32554,497478,14.972763,77.808,285,0,1,default
63126,625820,19.791320000000002,78.66459,215,0,1,default
37741,514070,15.713356,78.54644,245,0,1,default
2863,376460,9.606827000000001,76.50835,11,0,1,default
2229,371263,9.373764,78.42829,32,0,1,default
43809,531673,16.479599,74.82471,581,0,1,default
34337,503223,15.229416,78.54644,186,0,1,default
48452,544048,16.988754,77.86707,555,0,1,default
12101,425628,11.783524,75.6813,243,0,1,default
41715,525811,16.224518,78.191986,366,0,1,default
27556,481293,14.258224499999999,76.68558,573,0,1,default
21713,461407,13.369057000000002,77.748924,919,0,1,default
13669,432226,12.072517,77.483086,546,0,1,default
57380,574881,18.143303,77.778465,462,0,1,default
48154,543276,16.960503,75.74037,567,0,1,default
16870,444628,12.62075,77.15817,661,0,1,default
10865,419830,11.523163,77.24679,254,0,1,default
53113,558637,17.552872,81.08667,77,0,1,default
61455,599433,18.955382999999998,78.10338,333,0,1,default
56012,568639,17.918602,82.56354499999999,1237,0,1,default
16346,442679,12.534264,77.36494,723,0,1,default
9101,411424,11.1466675,78.57597,140,0,1,default
42592,528399,16.337929000000003,76.50835,426,0,1,default
3164,378467,9.694183,77.42401,606,0,1,default
8646,409416,11.059714999999999,77.21725,351,0,1,default
54583,563802,17.749893,77.21725,625,0,1,default
13538,431597,12.0436325,78.22153,1045,0,1,default
28773,485236,14.429916,78.10338,383,0,1,default
28275,483832,14.372704,74.9724,560,0,1,default
23934,469008,13.713645999999999,76.95141600000001,669,0,1,default
22405,463876,13.483970999999999,75.71084,861,0,1,default
25574,474736,13.971764000000002,74.76563,660,0,1,default
24934,472272,13.857085999999999,78.36922,482,0,1,default
673,356100,8.702843,77.3354,255,0,1,default
56250,570037,17.974808,77.24679,593,0,1,default
49375,546892,17.101715,78.5169,607,0,1,default
2020,369919,9.315468,77.60124,120,0,1,default
17441,446612,12.707207,78.10338,829,0,1,default
58850,581572,18.367706,80.08239,169,0,1,default
50168,549141,17.186394,81.67742,25,0,1,default
37861,514627,15.741791000000001,75.947136,617,0,1,default
40918,523718,16.139412,74.7361,660,0,1,default
23922,468996,13.713645999999999,76.59696,726,0,1,default
44722,533808,16.564552,78.39875,454,0,1,default
57818,576592,18.199432,80.17100500000001,142,0,1,default
2619,374502,9.519447,76.95141600000001,279,0,1,default
55875,568475,17.918602,77.71939,527,0,1,default
13866,432920,12.101402,78.66459,244,0,1,default
45498,535823,16.649467,78.191986,534,0,1,default
17487,446658,12.707207,79.46210500000001,114,0,1,default
40968,523768,16.139412,76.212975,496,0,1,default
3813,383081,9.897942,77.3354,392,0,1,default
23905,468979,13.713645999999999,76.094826,726,0,1,default
16815,444573,12.62075,75.53361,207,0,1,default
22153,462735,13.426514000000001,79.46210500000001,238,0,1,default
39499,519299,15.940697,79.72794,96,0,1,default
57004,573249,18.08715,77.42401,539,0,1,default
8338,408071,11.001732,76.1539,70,0,1,default
6704,399619,10.6245575,78.635056,104,0,1,default
21942,462080,13.397781,78.87135,706,0,1,default
8597,408849,11.030716,79.78702,3,0,1,default
29728,488442,14.572899,77.12864,541,0,1,default
6947,400915,10.68261,78.01476,207,0,1,default
12023,425045,11.754601,77.71939,327,0,1,default
6409,398269,10.56649,77.66032,315,0,1,default
37045,512064,15.628036499999999,76.33112,561,0,1,default
49777,548264,17.158173,76.921875,400,0,1,default
52928,557935,17.524704,82.32725,610,0,1,default
23935,469009,13.713645999999999,76.98095,671,0,1,default
40255,521768,16.054276,75.32685,678,0,1,default
14492,435516,12.216904,78.01476,847,0,1,default
58953,582354,18.395737,78.2806,555,0,1,default
61918,603786,19.095009,78.753204,219,0,1,default
45784,536528,16.677765,79.01904,239,0,1,default
29408,487224,14.515723999999999,79.40303,66,0,1,default
22211,463237,13.455245999999999,75.56315,1202,0,1,default
39824,520480,15.997498,76.00621,561,0,1,default
2474,373217,9.461182,77.83754,97,0,1,default
43934,531798,16.479599,78.5169,419,0,1,default
49808,548295,17.158173,77.83754,572,0,1,default
5206,391729,10.275986,79.25534,19,0,1,default
11214,421194,11.581039,79.19626600000001,55,0,1,default
21513,460762,13.340309,77.483086,930,0,1,default
54344,563021,17.721764,76.83326,535,0,1,default
3380,379818,9.752411,78.39875,79,0,1,default
32136,496173,14.915679999999998,77.0991,453,0,1,default
59182,583268,18.42376,80.34823,118,0,1,default
8200,407410,10.972733,75.97668,45,0,1,default
23263,466529,13.598839000000002,79.166725,400,0,1,default
47751,541955,16.903992000000002,77.778465,516,0,1,default
57090,573335,18.08715,79.96424,296,0,1,default
28250,483353,14.344092999999999,79.99378,9,0,1,default
16725,444008,12.591919,78.10338,634,0,1,default
5557,393703,10.363167,79.13719,36,0,1,default
45080,534576,16.592865,81.20482,5,0,1,default
12172,425699,11.783524,77.778465,762,0,1,default
8610,409380,11.059714999999999,76.1539,108,0,1,default
55797,567836,17.890495,81.97279,575,0,1,default
13439,431495,12.0436325,75.208694,174,0,1,default
35873,508260,15.457298000000002,77.42401,438,0,1,default
20432,456987,13.167801,79.13719,300,0,1,default
2537,373849,9.490311,77.0991,1163,0,1,default
26994,479358,14.172325,77.12864,698,0,1,default
32946,498755,15.029823,77.808,289,0,1,default
35544,507056,15.400352499999999,79.46210500000001,114,0,1,default
48642,544715,17.017006,76.83326,424,0,1,default
55453,566890,17.862389,77.04002,654,0,1,default
21228,459583,13.282822,80.28915400000001,4,0,1,default
1029,360690,8.907166,77.12864,282,0,1,default
12551,427591,11.8702545,75.799446,494,0,1,default
6518,398906,10.595528,77.01049,281,0,1,default
45042,534538,16.592865,80.08239,83,0,1,default
34395,503715,15.257912,74.41119,656,0,1,default
35046,505681,15.343391,76.3902,448,0,1,default
48105,542762,16.932251,81.1162,81,0,1,default
32333,496813,14.9442215,77.069565,449,0,1,default
31709,494867,14.858589000000002,76.41974,646,0,1,default
12183,425710,11.783524,78.10338,314,0,1,default
43579,531037,16.451271,75.76991,567,0,1,default
38364,516003,15.798637,78.39875,290,0,1,default
17318,446019,12.678390499999999,79.78702,67,0,1,default
50685,551129,17.271027,76.44927,462,0,1,default
38300,515939,15.798637,76.50835,468,0,1,default
35724,507673,15.428825,78.90089,293,0,1,default
52356,556330,17.46836,78.69413,492,0,1,default
53687,560768,17.637337,77.66032,647,0,1,default
46190,537777,16.734351999999998,75.82899,596,0,1,default
5082,391051,10.246917999999999,78.72366,98,0,1,default
52394,556368,17.46836,79.81655,201,0,1,default
53084,558608,17.552872,80.23008,188,0,1,default
30549,491052,14.687218,77.83754,341,0,1,default
29883,489046,14.601485999999998,75.82899,532,0,1,default
39155,518528,15.9122925,76.212975,621,0,1,default
38199,515402,15.77021,79.75748,72,0,1,default
47817,542021,16.903992000000002,79.72794,121,0,1,default
40292,521805,16.054276,76.41974,580,0,1,default
39507,519307,15.940697,79.96424,60,0,1,default
20407,456962,13.167801,78.39875,834,0,1,default
17378,446549,12.707207,76.24251600000001,909,0,1,default
38502,516577,15.827064499999999,76.24251600000001,644,0,1,default
61299,597740,18.899498,79.10765,312,0,1,default
52957,558481,17.552872,76.47881,507,0,1,default
4779,389082,10.159714,79.07812,34,0,1,default
29475,487740,14.544319,75.53361,604,0,1,default
18718,451151,12.908821000000001,77.98523,881,0,1,default
28914,485828,14.458526999999998,76.44927,653,0,1,default
49900,548387,17.158173,80.55499,106,0,1,default
2712,375166,9.548575999999999,77.15817,872,0,1,default
5271,392340,10.305054,77.83754,297,0,1,default
62766,615166,19.457458,78.84181,488,0,1,default
56233,569453,17.946709,83.36106,16,0,1,default
25158,472952,13.885757,79.37349,213,0,1,default
11552,423054,11.667839,76.56743,1031,0,1,default
29939,489102,14.601485999999998,77.483086,399,0,1,default
28290,483847,14.372704,75.41546,594,0,1,default
56357,570144,17.974808,80.4073,337,0,1,default
2727,375181,9.548575999999999,77.60124,192,0,1,default
16670,443953,12.591919,76.47881,771,0,1,default
25057,472851,13.885757,76.3902,683,0,1,default
18480,450450,12.880035000000001,76.3902,836,0,1,default
30516,491019,14.687218,76.8628,540,0,1,default
46538,538552,16.762634,78.66459,425,0,1,default
35900,508287,15.457298000000002,78.22153,308,0,1,default
28460,484471,14.401314000000001,74.677025,107,0,1,default
28409,483966,14.372704,78.93043,306,0,1,default
60048,588346,18.591827,80.08239,162,0,1,default
29689,488403,14.572899,75.97668,603,0,1,default
32553,497477,14.972763,77.778465,294,0,1,default
21145,459500,13.282822,77.83754,879,0,1,default
9939,415344,11.320496,78.84181,138,0,1,default
25530,474235,13.9431,79.10765,723,0,1,default
44637,533723,16.564552,75.88806,611,0,1,default
49544,547545,17.129944000000002,76.80373,407,0,1,default
44360,533037,16.53624,75.504074,540,0,1,default
37660,513989,15.713356,76.1539,652,0,1,default
3537,381108,9.810630999999999,77.54216,666,0,1,default
54838,564602,17.778029999999998,78.10338,492,0,1,default
2478,373221,9.461182,77.95569,73,0,1,default
37628,513957,15.713356,75.208694,623,0,1,default
5397,393010,10.334106,78.13291,332,0,1,default
22225,463251,13.455245999999999,75.97668,794,0,1,default
22093,462675,13.426514000000001,77.68985,950,0,1,default
2917,376514,9.606827000000001,78.10338,82,0,1,default
35701,507650,15.428825,78.22153,283,0,1,default
13072,429631,11.956963,78.13291,394,0,1,default
56992,573237,18.08715,77.069565,558,0,1,default
40783,523153,16.111038,77.45355,381,0,1,default
6423,398283,10.56649,78.07384,262,0,1,default
36671,510810,15.571144,77.21725,396,0,1,default
906,359361,8.848801,76.71511,34,0,1,default
47103,539981,16.819191,80.52545,74,0,1,default
24601,471032,13.799721,79.81655,42,0,1,default
37885,514651,15.741791000000001,76.65604,418,0,1,default
14951,437437,12.303497,76.8628,668,0,1,default
50905,551839,17.299232,75.97668,439,0,1,default
52950,557957,17.524704,82.97706600000001,20,0,1,default
38294,515933,15.798637,76.33112,643,0,1,default
56839,572457,18.059074,77.83754,465,0,1,default
15275,438733,12.361206,76.50835,830,0,1,default
35907,508294,15.457298000000002,78.42829,202,0,1,default
16407,442740,12.534264,79.166725,159,0,1,default
20388,456943,13.167801,77.83754,902,0,1,default
51610,554044,17.38382,76.41974,518,0,1,default
40707,523077,16.111038,75.208694,633,0,1,default
61434,598758,18.927444,83.685974,250,0,1,default
51529,553456,17.355629,80.67314,170,0,1,default
59273,584051,18.45179,78.5169,576,0,1,default
23145,466411,13.598839000000002,75.6813,884,0,1,default
59747,586625,18.53582,79.49164,195,0,1,default
11089,420562,11.552109,79.6984,3,0,1,default
16890,444648,12.62075,77.748924,897,0,1,default
17968,448543,12.7936325,77.54216,781,0,1,default
54088,561697,17.665482,82.74077,105,0,1,default
31626,494345,14.830039999999999,79.96424,10,0,1,default
51611,554045,17.38382,76.44927,459,0,1,default
53195,559235,17.581024,76.71511,522,0,1,default
47746,541950,16.903992000000002,77.630775,523,0,1,default
47226,540539,16.847466,76.74465,474,0,1,default
11536,423038,11.667839,76.094826,767,0,1,default
58843,581565,18.367706,79.875626,194,0,1,default
42714,528521,16.337929000000003,80.11193,88,0,1,default
39287,518660,15.9122925,80.11193,47,0,1,default
51516,553443,17.355629,80.28915400000001,143,0,1,default
42266,527220,16.281226999999998,80.79129,5,0,1,default
10854,419819,11.523163,76.921875,1619,0,1,default
11508,422503,11.638916,79.49164,84,0,1,default
2656,374539,9.519447,78.044304,109,0,1,default
41079,523879,16.139412,79.49164,151,0,1,default
24765,471649,13.828407,79.01904,451,0,1,default
18309,449815,12.851227,76.774185,769,0,1,default
47330,540643,16.847466,79.81655,109,0,1,default
8342,408075,11.001732,76.27205,167,0,1,default
51068,552002,17.299232,80.79129,225,0,1,default
47020,539898,16.819191,78.07384,603,0,1,default
57624,575759,18.171364,79.66887,227,0,1,default
50810,551254,17.271027,80.141464,118,0,1,default
52703,557191,17.496536,82.29771,366,0,1,default
10462,417907,11.436325,77.83754,250,0,1,default
28357,483914,14.372704,77.39448,562,0,1,default
45167,535077,16.621170000000003,76.094826,580,0,1,default
37509,513401,15.684921,77.83754,348,0,1,default
11423,422418,11.638916,76.98095,878,0,1,default
3415,380419,9.781525,76.68558,89,0,1,default
47526,541281,16.875725,78.31014,547,0,1,default
58920,581707,18.367706,84.06996,9,0,1,default
2067,369966,9.315468,78.9895,10,0,1,default
15113,438085,12.332344,76.68558,747,0,1,default
30041,489650,14.630073999999999,74.58841,491,0,1,default
11495,422490,11.638916,79.10765,73,0,1,default
21021,458928,13.254074,79.78702,123,0,1,default
17145,445375,12.649567,79.99378,41,0,1,default
336,350882,8.469185000000001,77.778465,54,0,1,default
47678,541882,16.903992000000002,75.62222,614,0,1,default
29805,488519,14.572899,79.40303,74,0,1,default
61251,597057,18.871560000000002,84.394875,76,0,1,default
12612,427652,11.8702545,77.60124,429,0,1,default
