,gid,latitude,longitude,elevation,timezone,config
217,79747,26.75,91.15,0,5.5,default
218,80045,23.55,91.25,0,5.5,default
219,80046,23.65,91.25,0,5.5,default
220,80047,23.75,91.25,0,5.5,default
221,80062,25.25,91.25,0,5.5,default
222,80063,25.35,91.25,0,5.5,default
223,80064,25.45,91.25,0,5.5,default
224,80065,25.55,91.25,0,5.5,default
225,80066,25.65,91.25,0,5.5,default
226,80067,25.75,91.25,0,5.5,default
227,80068,25.85,91.25,0,5.5,default
228,80069,25.95,91.25,0,5.5,default
229,80070,26.05,91.25,0,5.5,default
230,80071,26.15,91.25,0,5.5,default
231,80072,26.25,91.25,0,5.5,default
232,80073,26.35,91.25,0,5.5,default
233,80074,26.45,91.25,0,5.5,default
234,80075,26.55,91.25,0,5.5,default
235,80076,26.65,91.25,0,5.5,default
236,80077,26.75,91.25,0,5.5,default
237,80371,23.15,91.35,0,5.5,default
238,80372,23.25,91.35,0,5.5,default
239,80373,23.35,91.35,0,5.5,default
240,80374,23.45,91.35,0,5.5,default
241,80375,23.55,91.35,0,5.5,default
242,80376,23.65,91.35,0,5.5,default
243,80377,23.75,91.35,0,5.5,default
244,80378,23.85,91.35,0,5.5,default
245,80379,23.95,91.35,0,5.5,default
246,80392,25.25,91.35,0,5.5,default
247,80393,25.35,91.35,0,5.5,default
248,80394,25.45,91.35,0,5.5,default
249,80395,25.55,91.35,0,5.5,default
250,80396,25.65,91.35,0,5.5,default
251,80397,25.75,91.35,0,5.5,default
252,80398,25.85,91.35,0,5.5,default
253,80399,25.95,91.35,0,5.5,default
254,80400,26.05,91.35,0,5.5,default
255,80401,26.15,91.35,0,5.5,default
256,80402,26.25,91.35,0,5.5,default
257,80403,26.35,91.35,0,5.5,default
258,80404,26.45,91.35,0,5.5,default
259,80405,26.55,91.35,0,5.5,default
260,80406,26.65,91.35,0,5.5,default
261,80407,26.75,91.35,0,5.5,default
262,80703,23.35,91.45,0,5.5,default
263,80704,23.45,91.45,0,5.5,default
264,80705,23.55,91.45,0,5.5,default
265,80706,23.65,91.45,0,5.5,default
266,80707,23.75,91.45,0,5.5,default
267,80708,23.85,91.45,0,5.5,default
268,80709,23.95,91.45,0,5.5,default
269,80710,24.05,91.45,0,5.5,default
270,80721,25.15,91.45,0,5.5,default
271,80722,25.25,91.45,0,5.5,default
272,80723,25.35,91.45,0,5.5,default
273,80724,25.45,91.45,0,5.5,default
274,80725,25.55,91.45,0,5.5,default
275,80726,25.65,91.45,0,5.5,default
276,80727,25.75,91.45,0,5.5,default
277,80728,25.85,91.45,0,5.5,default
278,80729,25.95,91.45,0,5.5,default
279,80730,26.05,91.45,0,5.5,default
280,80731,26.15,91.45,0,5.5,default
281,80732,26.25,91.45,0,5.5,default
282,80733,26.35,91.45,0,5.5,default
283,80734,26.45,91.45,0,5.5,default
284,80735,26.55,91.45,0,5.5,default
285,80736,26.65,91.45,0,5.5,default
286,80737,26.75,91.45,0,5.5,default
287,81030,23.05,91.55,0,5.5,default
288,81031,23.15,91.55,0,5.5,default
289,81032,23.25,91.55,0,5.5,default
290,81033,23.35,91.55,0,5.5,default
291,81034,23.45,91.55,0,5.5,default
292,81035,23.55,91.55,0,5.5,default
293,81036,23.65,91.55,0,5.5,default
294,81037,23.75,91.55,0,5.5,default
295,81038,23.85,91.55,0,5.5,default
296,81039,23.95,91.55,0,5.5,default
297,81040,24.05,91.55,0,5.5,default
298,81051,25.15,91.55,0,5.5,default
299,81052,25.25,91.55,0,5.5,default
300,81053,25.35,91.55,0,5.5,default
301,81054,25.45,91.55,0,5.5,default
302,81055,25.55,91.55,0,5.5,default
303,81056,25.65,91.55,0,5.5,default
304,81057,25.75,91.55,0,5.5,default
305,81058,25.85,91.55,0,5.5,default
306,81059,25.95,91.55,0,5.5,default
307,81060,26.05,91.55,0,5.5,default
308,81061,26.15,91.55,0,5.5,default
309,81062,26.25,91.55,0,5.5,default
310,81063,26.35,91.55,0,5.5,default
311,81064,26.45,91.55,0,5.5,default
312,81065,26.55,91.55,0,5.5,default
313,81066,26.65,91.55,0,5.5,default
314,81067,26.75,91.55,0,5.5,default
315,81360,23.05,91.65,0,5.5,default
316,81361,23.15,91.65,0,5.5,default
317,81362,23.25,91.65,0,5.5,default
318,81363,23.35,91.65,0,5.5,default
319,81364,23.45,91.65,0,5.5,default
320,81365,23.55,91.65,0,5.5,default
321,81366,23.65,91.65,0,5.5,default
322,81367,23.75,91.65,0,5.5,default
323,81368,23.85,91.65,0,5.5,default
324,81369,23.95,91.65,0,5.5,default
325,81370,24.05,91.65,0,5.5,default
326,81371,24.15,91.65,0,5.5,default
327,81381,25.15,91.65,0,5.5,default
328,81382,25.25,91.65,0,5.5,default
329,81383,25.35,91.65,0,5.5,default
330,81384,25.45,91.65,0,5.5,default
331,81385,25.55,91.65,0,5.5,default
332,81386,25.65,91.65,0,5.5,default
333,81387,25.75,91.65,0,5.5,default
334,81388,25.85,91.65,0,5.5,default
335,81389,25.95,91.65,0,5.5,default
336,81390,26.05,91.65,0,5.5,default
337,81391,26.15,91.65,0,5.5,default
338,81392,26.25,91.65,0,5.5,default
339,81393,26.35,91.65,0,5.5,default
340,81394,26.45,91.65,0,5.5,default
341,81395,26.55,91.65,0,5.5,default
342,81396,26.65,91.65,0,5.5,default
343,81397,26.75,91.65,0,5.5,default
344,81405,27.55,91.65,0,5.5,default
345,81406,27.65,91.65,0,5.5,default
348,81690,23.05,91.75,0,5.5,default
349,81691,23.15,91.75,0,5.5,default
350,81692,23.25,91.75,0,5.5,default
351,81693,23.35,91.75,0,5.5,default
352,81694,23.45,91.75,0,5.5,default
353,81695,23.55,91.75,0,5.5,default
354,81696,23.65,91.75,0,5.5,default
355,81697,23.75,91.75,0,5.5,default
356,81698,23.85,91.75,0,5.5,default
357,81699,23.95,91.75,0,5.5,default
358,81700,24.05,91.75,0,5.5,default
359,81712,25.25,91.75,0,5.5,default
360,81713,25.35,91.75,0,5.5,default
361,81714,25.45,91.75,0,5.5,default
362,81715,25.55,91.75,0,5.5,default
363,81716,25.65,91.75,0,5.5,default
364,81717,25.75,91.75,0,5.5,default
365,81718,25.85,91.75,0,5.5,default
366,81719,25.95,91.75,0,5.5,default
367,81720,26.05,91.75,0,5.5,default
368,81721,26.15,91.75,0,5.5,default
369,81722,26.25,91.75,0,5.5,default
370,81723,26.35,91.75,0,5.5,default
371,81724,26.45,91.75,0,5.5,default
372,81725,26.55,91.75,0,5.5,default
373,81726,26.65,91.75,0,5.5,default
374,81727,26.75,91.75,0,5.5,default
375,81735,27.55,91.75,0,5.5,default
376,81736,27.65,91.75,0,5.5,default
377,81737,27.75,91.75,0,5.5,default
378,82024,23.45,91.85,0,5.5,default
379,82025,23.55,91.85,0,5.5,default
380,82026,23.65,91.85,0,5.5,default
381,82027,23.75,91.85,0,5.5,default
382,82028,23.85,91.85,0,5.5,default
383,82029,23.95,91.85,0,5.5,default
384,82030,24.05,91.85,0,5.5,default
385,82031,24.15,91.85,0,5.5,default
386,82042,25.25,91.85,0,5.5,default
387,82043,25.35,91.85,0,5.5,default
388,82044,25.45,91.85,0,5.5,default
389,82045,25.55,91.85,0,5.5,default
390,82046,25.65,91.85,0,5.5,default
391,82047,25.75,91.85,0,5.5,default
392,82048,25.85,91.85,0,5.5,default
393,82049,25.95,91.85,0,5.5,default
394,82050,26.05,91.85,0,5.5,default
395,82051,26.15,91.85,0,5.5,default
396,82052,26.25,91.85,0,5.5,default
397,82053,26.35,91.85,0,5.5,default
398,82054,26.45,91.85,0,5.5,default
399,82055,26.55,91.85,0,5.5,default
400,82056,26.65,91.85,0,5.5,default
401,82057,26.75,91.85,0,5.5,default
402,82058,26.85,91.85,0,5.5,default
403,82065,27.55,91.85,0,5.5,default
404,82066,27.65,91.85,0,5.5,default
405,82067,27.75,91.85,0,5.5,default
406,82355,23.55,91.95,0,5.5,default
408,82357,23.75,91.95,0,5.5,default
409,82358,23.85,91.95,0,5.5,default
410,82359,23.95,91.95,0,5.5,default
411,82360,24.05,91.95,0,5.5,default
412,82361,24.15,91.95,0,5.5,default
413,82362,24.25,91.95,0,5.5,default
415,82372,25.25,91.95,0,5.5,default
416,82373,25.35,91.95,0,5.5,default
417,82374,25.45,91.95,0,5.5,default
418,82375,25.55,91.95,0,5.5,default
419,82376,25.65,91.95,0,5.5,default
420,82377,25.75,91.95,0,5.5,default
421,82378,25.85,91.95,0,5.5,default
422,82379,25.95,91.95,0,5.5,default
423,82380,26.05,91.95,0,5.5,default
424,82381,26.15,91.95,0,5.5,default
425,82382,26.25,91.95,0,5.5,default
426,82383,26.35,91.95,0,5.5,default
427,82384,26.45,91.95,0,5.5,default
428,82385,26.55,91.95,0,5.5,default
429,82386,26.65,91.95,0,5.5,default
430,82387,26.75,91.95,0,5.5,default
431,82388,26.85,91.95,0,5.5,default
432,82395,27.55,91.95,0,5.5,default
433,82396,27.65,91.95,0,5.5,default
434,82687,23.75,92.05,0,5.5,default
435,82688,23.85,92.05,0,5.5,default
436,82689,23.95,92.05,0,5.5,default
437,82690,24.05,92.05,0,5.5,default
438,82691,24.15,92.05,0,5.5,default
439,82692,24.25,92.05,0,5.5,default
440,82693,24.35,92.05,0,5.5,default
441,82702,25.25,92.05,0,5.5,default
442,82703,25.35,92.05,0,5.5,default
443,82704,25.45,92.05,0,5.5,default
444,82705,25.55,92.05,0,5.5,default
445,82706,25.65,92.05,0,5.5,default
446,82707,25.75,92.05,0,5.5,default
447,82708,25.85,92.05,0,5.5,default
448,82709,25.95,92.05,0,5.5,default
449,82710,26.05,92.05,0,5.5,default
450,82711,26.15,92.05,0,5.5,default
451,82712,26.25,92.05,0,5.5,default
452,82713,26.35,92.05,0,5.5,default
453,82714,26.45,92.05,0,5.5,default
454,82715,26.55,92.05,0,5.5,default
455,82716,26.65,92.05,0,5.5,default
456,82717,26.75,92.05,0,5.5,default
457,82721,27.15,92.05,0,5.5,default
458,82724,27.45,92.05,0,5.5,default
459,82725,27.55,92.05,0,5.5,default
460,82726,27.65,92.05,0,5.5,default
461,82727,27.75,92.05,0,5.5,default
462,83017,23.75,92.15,0,5.5,default
463,83018,23.85,92.15,0,5.5,default
464,83019,23.95,92.15,0,5.5,default
465,83020,24.05,92.15,0,5.5,default
466,83021,24.15,92.15,0,5.5,default
467,83022,24.25,92.15,0,5.5,default
468,83023,24.35,92.15,0,5.5,default
469,83031,25.15,92.15,0,5.5,default
470,83032,25.25,92.15,0,5.5,default
471,83033,25.35,92.15,0,5.5,default
472,83034,25.45,92.15,0,5.5,default
473,83035,25.55,92.15,0,5.5,default
474,83036,25.65,92.15,0,5.5,default
475,83037,25.75,92.15,0,5.5,default
476,83038,25.85,92.15,0,5.5,default
477,83039,25.95,92.15,0,5.5,default
478,83040,26.05,92.15,0,5.5,default
479,83041,26.15,92.15,0,5.5,default
480,83042,26.25,92.15,0,5.5,default
481,83043,26.35,92.15,0,5.5,default
482,83044,26.45,92.15,0,5.5,default
483,83045,26.55,92.15,0,5.5,default
484,83046,26.65,92.15,0,5.5,default
485,83047,26.75,92.15,0,5.5,default
486,83048,26.85,92.15,0,5.5,default
487,83049,26.95,92.15,0,5.5,default
488,83050,27.05,92.15,0,5.5,default
489,83051,27.15,92.15,0,5.5,default
490,83052,27.25,92.15,0,5.5,default
491,83053,27.35,92.15,0,5.5,default
492,83054,27.45,92.15,0,5.5,default
493,83055,27.55,92.15,0,5.5,default
494,83056,27.65,92.15,0,5.5,default
495,83057,27.75,92.15,0,5.5,default
496,83347,23.75,92.25,0,5.5,default
497,83348,23.85,92.25,0,5.5,default
498,83349,23.95,92.25,0,5.5,default
499,83350,24.05,92.25,0,5.5,default
500,83351,24.15,92.25,0,5.5,default
501,83352,24.25,92.25,0,5.5,default
502,83353,24.35,92.25,0,5.5,default
503,83354,24.45,92.25,0,5.5,default
504,83355,24.55,92.25,0,5.5,default
506,83361,25.15,92.25,0,5.5,default
507,83362,25.25,92.25,0,5.5,default
508,83363,25.35,92.25,0,5.5,default
509,83364,25.45,92.25,0,5.5,default
510,83365,25.55,92.25,0,5.5,default
511,83366,25.65,92.25,0,5.5,default
512,83367,25.75,92.25,0,5.5,default
513,83368,25.85,92.25,0,5.5,default
514,83369,25.95,92.25,0,5.5,default
515,83370,26.05,92.25,0,5.5,default
516,83371,26.15,92.25,0,5.5,default
517,83372,26.25,92.25,0,5.5,default
518,83373,26.35,92.25,0,5.5,default
519,83374,26.45,92.25,0,5.5,default
520,83375,26.55,92.25,0,5.5,default
521,83376,26.65,92.25,0,5.5,default
522,83377,26.75,92.25,0,5.5,default
523,83378,26.85,92.25,0,5.5,default
524,83379,26.95,92.25,0,5.5,default
525,83380,27.05,92.25,0,5.5,default
526,83381,27.15,92.25,0,5.5,default
527,83382,27.25,92.25,0,5.5,default
528,83383,27.35,92.25,0,5.5,default
529,83384,27.45,92.25,0,5.5,default
530,83385,27.55,92.25,0,5.5,default
531,83386,27.65,92.25,0,5.5,default
532,83387,27.75,92.25,0,5.5,default
533,83388,27.85,92.25,0,5.5,default
534,83674,23.45,92.35,0,5.5,default
535,83675,23.55,92.35,0,5.5,default
536,83676,23.65,92.35,0,5.5,default
537,83677,23.75,92.35,0,5.5,default
538,83678,23.85,92.35,0,5.5,default
539,83679,23.95,92.35,0,5.5,default
540,83680,24.05,92.35,0,5.5,default
541,83681,24.15,92.35,0,5.5,default
542,83682,24.25,92.35,0,5.5,default
543,83683,24.35,92.35,0,5.5,default
544,83684,24.45,92.35,0,5.5,default
545,83685,24.55,92.35,0,5.5,default
546,83686,24.65,92.35,0,5.5,default
547,83687,24.75,92.35,0,5.5,default
548,83688,24.85,92.35,0,5.5,default
549,83691,25.15,92.35,0,5.5,default
550,83692,25.25,92.35,0,5.5,default
551,83693,25.35,92.35,0,5.5,default
552,83694,25.45,92.35,0,5.5,default
553,83695,25.55,92.35,0,5.5,default
554,83696,25.65,92.35,0,5.5,default
555,83697,25.75,92.35,0,5.5,default
556,83698,25.85,92.35,0,5.5,default
557,83699,25.95,92.35,0,5.5,default
558,83700,26.05,92.35,0,5.5,default
559,83701,26.15,92.35,0,5.5,default
560,83702,26.25,92.35,0,5.5,default
561,83703,26.35,92.35,0,5.5,default
562,83704,26.45,92.35,0,5.5,default
563,83705,26.55,92.35,0,5.5,default
564,83706,26.65,92.35,0,5.5,default
565,83707,26.75,92.35,0,5.5,default
566,83708,26.85,92.35,0,5.5,default
567,83709,26.95,92.35,0,5.5,default
568,83710,27.05,92.35,0,5.5,default
569,83711,27.15,92.35,0,5.5,default
570,83712,27.25,92.35,0,5.5,default
571,83713,27.35,92.35,0,5.5,default
572,83714,27.45,92.35,0,5.5,default
573,83715,27.55,92.35,0,5.5,default
574,83716,27.65,92.35,0,5.5,default
575,83717,27.75,92.35,0,5.5,default
576,83999,22.95,92.45,0,5.5,default
577,84000,23.05,92.45,0,5.5,default
578,84001,23.15,92.45,0,5.5,default
579,84002,23.25,92.45,0,5.5,default
580,84003,23.35,92.45,0,5.5,default
581,84004,23.45,92.45,0,5.5,default
582,84005,23.55,92.45,0,5.5,default
583,84006,23.65,92.45,0,5.5,default
584,84007,23.75,92.45,0,5.5,default
585,84008,23.85,92.45,0,5.5,default
586,84009,23.95,92.45,0,5.5,default
587,84010,24.05,92.45,0,5.5,default
588,84011,24.15,92.45,0,5.5,default
589,84012,24.25,92.45,0,5.5,default
590,84013,24.35,92.45,0,5.5,default
591,84014,24.45,92.45,0,5.5,default
592,84015,24.55,92.45,0,5.5,default
593,84016,24.65,92.45,0,5.5,default
594,84017,24.75,92.45,0,5.5,default
595,84018,24.85,92.45,0,5.5,default
596,84020,25.05,92.45,0,5.5,default
597,84021,25.15,92.45,0,5.5,default
598,84022,25.25,92.45,0,5.5,default
599,84023,25.35,92.45,0,5.5,default
600,84024,25.45,92.45,0,5.5,default
601,84025,25.55,92.45,0,5.5,default
602,84026,25.65,92.45,0,5.5,default
603,84027,25.75,92.45,0,5.5,default
604,84028,25.85,92.45,0,5.5,default
605,84029,25.95,92.45,0,5.5,default
606,84030,26.05,92.45,0,5.5,default
607,84031,26.15,92.45,0,5.5,default
608,84032,26.25,92.45,0,5.5,default
609,84033,26.35,92.45,0,5.5,default
610,84034,26.45,92.45,0,5.5,default
611,84035,26.55,92.45,0,5.5,default
612,84036,26.65,92.45,0,5.5,default
613,84037,26.75,92.45,0,5.5,default
614,84038,26.85,92.45,0,5.5,default
615,84039,26.95,92.45,0,5.5,default
616,84040,27.05,92.45,0,5.5,default
617,84041,27.15,92.45,0,5.5,default
618,84042,27.25,92.45,0,5.5,default
619,84043,27.35,92.45,0,5.5,default
620,84044,27.45,92.45,0,5.5,default
621,84045,27.55,92.45,0,5.5,default
622,84046,27.65,92.45,0,5.5,default
623,84047,27.75,92.45,0,5.5,default
624,84325,22.55,92.55,0,5.5,default
625,84326,22.65,92.55,0,5.5,default
626,84327,22.75,92.55,0,5.5,default
627,84328,22.85,92.55,0,5.5,default
628,84329,22.95,92.55,0,5.5,default
629,84330,23.05,92.55,0,5.5,default
630,84331,23.15,92.55,0,5.5,default
631,84332,23.25,92.55,0,5.5,default
632,84333,23.35,92.55,0,5.5,default
633,84334,23.45,92.55,0,5.5,default
634,84335,23.55,92.55,0,5.5,default
635,84336,23.65,92.55,0,5.5,default
636,84337,23.75,92.55,0,5.5,default
637,84338,23.85,92.55,0,5.5,default
638,84339,23.95,92.55,0,5.5,default
639,84340,24.05,92.55,0,5.5,default
640,84341,24.15,92.55,0,5.5,default
641,84342,24.25,92.55,0,5.5,default
642,84343,24.35,92.55,0,5.5,default
643,84344,24.45,92.55,0,5.5,default
644,84345,24.55,92.55,0,5.5,default
645,84346,24.65,92.55,0,5.5,default
646,84347,24.75,92.55,0,5.5,default
647,84348,24.85,92.55,0,5.5,default
648,84349,24.95,92.55,0,5.5,default
649,84350,25.05,92.55,0,5.5,default
650,84351,25.15,92.55,0,5.5,default
651,84352,25.25,92.55,0,5.5,default
652,84353,25.35,92.55,0,5.5,default
653,84354,25.45,92.55,0,5.5,default
654,84355,25.55,92.55,0,5.5,default
655,84356,25.65,92.55,0,5.5,default
656,84357,25.75,92.55,0,5.5,default
657,84358,25.85,92.55,0,5.5,default
658,84359,25.95,92.55,0,5.5,default
659,84360,26.05,92.55,0,5.5,default
660,84361,26.15,92.55,0,5.5,default
661,84362,26.25,92.55,0,5.5,default
662,84363,26.35,92.55,0,5.5,default
663,84364,26.45,92.55,0,5.5,default
664,84365,26.55,92.55,0,5.5,default
665,84366,26.65,92.55,0,5.5,default
666,84367,26.75,92.55,0,5.5,default
667,84368,26.85,92.55,0,5.5,default
